customer_id,gender,age,region,customer_tenure_months,subscription_type,monthly_charges,num_support_tickets,service_calls_last_6_months,contract_type,payment_method,auto_renewal_enabled,multiple_services,active_last_month,login_frequency_per_week,usage_minutes_per_month,plan_changes_in_last_year,total_charges,churn
C0001,Female,31,Central,64,Premium,100.65,4,12,2-Year,PayPal,0,0,0,5.0,4301.39,3,6446.26,0
C0002,Male,28,South,32,Standard,102.79,6,11,2-Year,Debit Card,1,1,0,20.0,3848.33,1,3296.19,0
C0003,Female,37,North,62,Standard,40.61,6,2,2-Year,Bank Transfer,1,0,0,15.0,3822.89,1,2486.8,0
C0004,Female,35,North,15,Basic,115.58,2,8,Month-to-Month,Bank Transfer,1,1,1,24.0,3760.48,4,1737.81,1
C0005,Male,80,Central,1,Enterprise,54.26,3,8,Month-to-Month,Debit Card,0,1,0,22.0,1425.4,0,23.03,1
C0006,Male,45,North,23,Enterprise,60.4,2,5,1-Year,Credit Card,0,1,1,7.0,892.19,0,1417.14,0
C0007,Other,43,West,28,Enterprise,119.26,2,12,1-Year,Debit Card,0,1,1,10.0,3075.57,3,3367.18,0
C0008,Female,22,Central,13,Basic,69.38,0,14,1-Year,Credit Card,1,0,1,19.0,3543.87,4,925.7,0
C0009,Other,18,South,8,Premium,84.07,0,7,1-Year,PayPal,1,1,0,4.0,1919.12,2,672.98,0
C0010,Other,19,North,60,Enterprise,102.89,4,13,1-Year,Debit Card,1,0,0,4.0,1737.25,1,6205.16,0
C0011,Female,35,North,59,Standard,96.67,3,0,2-Year,Debit Card,1,1,0,,626.3,3,5701.06,0
C0012,Female,37,Central,48,Standard,38.89,2,4,1-Year,PayPal,1,1,1,19.0,4929.66,3,1862.38,0
C0013,Female,56,West,68,Standard,79.68,8,4,2-Year,Credit Card,0,0,1,15.0,838.04,3,5412.43,0
C0014,Male,24,North,41,Premium,114.47,8,1,1-Year,PayPal,1,1,1,22.0,3511.76,3,4732.05,0
C0015,Male,57,South,15,Basic,83.22,1,7,1-Year,Debit Card,0,0,1,21.0,2515.58,4,1263.11,0
C0016,Female,49,West,44,Enterprise,119.68,9,7,1-Year,PayPal,0,1,1,,4820.68,1,5291.3,0
C0017,Male,29,Central,6,Basic,48.06,7,12,Month-to-Month,PayPal,0,0,0,1.0,1144.34,3,258.35,1
C0018,Male,32,North,33,Standard,28.56,1,8,Month-to-Month,Credit Card,0,0,0,14.0,3405.69,4,985.91,1
C0019,Female,79,Central,70,Enterprise,91.75,6,11,1-Year,Bank Transfer,1,1,0,19.0,4521.53,2,6376.44,0
C0020,Male,71,West,26,Premium,53.56,6,10,1-Year,Bank Transfer,1,1,1,0,4082.95,3,1373.07,0
C0021,Other,54,East,40,Basic,58.78,4,1,Month-to-Month,Debit Card,0,0,0,11.0,1309.63,1,2395.16,1
C0022,Female,39,Central,56,Standard,109.59,5,1,2-Year,Debit Card,0,0,0,5.0,4576.35,4,6095.5,0
C0023,Female,61,North,49,Standard,111.42,6,14,1-Year,Debit Card,1,0,0,13.0,3326.54,2,5445.62,0
C0024,Female,53,North,7,Standard,60.04,6,2,1-Year,Debit Card,1,0,1,4.0,2451.68,4,384.88,0
C0025,Female,44,South,65,Premium,112.0,8,2,1-Year,Debit Card,1,1,1,7.0,3173.68,3,7306.89,0
C0026,Female,56,North,69,Basic,30.2,5,5,1-Year,Debit Card,0,1,1,16.0,159.53,2,2044.78,0
C0027,Female,30,West,56,Standard,74.79,0,5,2-Year,Credit Card,0,1,1,9.0,1615.56,1,4201.4,0
C0028,Female,56,Central,40,Basic,42.57,9,13,2-Year,Debit Card,0,1,1,20.0,1705.39,4,1745.3,0
C0029,Other,72,West,39,Enterprise,66.21,8,6,2-Year,Debit Card,0,0,1,8.0,3883.89,4,2544.53,0
C0030,Other,64,South,7,Standard,24.3,6,9,2-Year,Debit Card,1,1,1,19.0,2053.81,4,212.42,0
C0031,Other,22,North,41,Premium,59.31,0,13,2-Year,PayPal,1,0,0,17.0,4013.68,3,2462.8,0
C0032,Other,57,East,28,Standard,55.68,7,2,Month-to-Month,Bank Transfer,1,1,0,20.0,1112.53,0,1584.96,1
C0033,Female,34,North,55,Standard,42.82,5,9,Month-to-Month,Credit Card,1,1,1,11.0,2980.6,1,2391.74,0
C0034,Other,25,Central,5,Standard,109.63,6,12,1-Year,Credit Card,0,0,0,16.0,2976.4,1,590.59,1
C0035,Male,33,South,17,Standard,49.41,6,13,1-Year,Credit Card,0,0,0,13.0,384.45,1,872.7,0
C0036,Female,52,Central,15,Basic,71.06,5,7,1-Year,Bank Transfer,0,0,1,5.0,2457.51,4,1057.66,0
C0037,Other,64,West,63,Standard,97.23,5,13,Month-to-Month,Credit Card,1,1,1,7.0,1538.16,1,6120.0,1
C0038,Male,33,North,52,Enterprise,97.42,9,11,Month-to-Month,Credit Card,1,0,1,22.0,2069.95,3,5090.73,1
C0039,Other,69,West,67,Basic,48.87,5,5,1-Year,Credit Card,0,0,0,10.0,1864.36,2,3272.96,0
C0040,Male,67,East,70,Premium,20.89,8,13,Month-to-Month,Bank Transfer,1,0,0,5.0,3978.03,3,1489.68,0
C0041,Female,19,South,3,Premium,72.27,7,0,1-Year,Credit Card,0,0,1,13.0,2847.76,3,210.07,1
C0042,Female,68,Central,46,Standard,56.84,5,6,2-Year,Debit Card,0,1,1,6.0,80.26,3,2635.33,0
