house_id,location,area_sqft,num_bedrooms,num_bathrooms,garage,year_built,lot_size_sqft,num_floors,has_basement,has_pool,house_style,exterior_material,condition_rating,proximity_to_city_center_km,school_quality_rating,crime_rate_per_1000,price
ID_0,New York,3115,5,1,0,1941,11234,2,1,1.0,Traditional,Vinyl,2,22.22,7,0.25,891006
ID_1,Houston,4907,6,1,0,2011,2289,1,1,0,Contemporary,Brick,1,46.43,5,5.17,1065066
ID_2,Houston,1147,2,3,0,1943,14904,1,0,1.0,Colonial,Wood,10,49.42,1,4.8,414139
ID_3,New York,3056,1,2,0,1951,14897,1,1,1.0,Colonial,Stucco,4,3.39,6,6.43,848314
ID_4,New York,2534,5,4,1,1996,9978,1,0,0,Ranch,Vinyl,3,11.2,4,4.36,834597
ID_5,Phoenix,2663,4,4,1,2003,16554,3,1,1.0,Traditional,Brick,5,22.33,8,3.68,1000105
ID_6,Chicago,1806,1,2,0,1911,3006,1,1,0,Ranch,Vinyl,4,8.46,1,7.89,485485
ID_7,New York,827,4,1,0,1913,11689,1,1,1.0,Colonial,Vinyl,8,23.92,2,0.89,488253
ID_8,New York,4161,4,2,0,1980,2394,2,0,1.0,Ranch,Brick,6,33.46,2,2.08,961562
ID_9,Los Angeles,4079,1,1,1,1967,14382,1,1,1.0,Modern,Vinyl,5,21.45,5,7.87,953812
ID_10,Phoenix,2793,5,2,0,1993,5981,2,1,1.0,Traditional,Brick,3,16.69,10,9.68,904800
ID_11,San Jose,4016,5,3,1,1919,9149,1,0,0,Modern,,10,15.68,2,5.17,948731
ID_12,Chicago,3328,2,2,0,1912,6089,1,0,1.0,Ranch,Brick,9,41.39,10,7.58,777830
ID_13,San Antonio,1821,1,5,1,1949,10479,1,1,0,Ranch,Vinyl,1,30.41,5,3.77,573335
ID_14,San Antonio,1629,4,1,0,1905,18321,1,0,0,Colonial,Vinyl,10,30.97,3,1.62,538870
ID_15,Philadelphia,2035,4,4,0,2000,3936,3,0,1.0,Modern,Vinyl,10,31.85,6,1.3,776258
ID_16,Chicago,3584,4,1,1,2018,2828,3,0,0,Colonial,Wood,10,33.64,2,8.31,878425
ID_17,San Jose,2109,6,3,1,1915,14881,2,1,1.0,Ranch,Brick,5,39.89,5,2.42,773506
ID_18,Los Angeles,4035,1,3,1,1930,19431,3,1,0,Contemporary,Brick,1,40.47,3,9.75,888467
ID_19,San Jose,2304,3,5,1,1904,6726,1,0,,Ranch,Stucco,10,3.0,2,2.64,732665
ID_20,Philadelphia,3234,5,3,1,1912,2880,2,1,0,Ranch,Brick,7,8.08,5,0.94,886606
ID_21,Chicago,3884,5,1,1,1914,11903,2,1,0,Colonial,Brick,8,41.53,9,3.57,1003198
ID_22,Los Angeles,3728,3,4,0,1987,16056,3,0,0,Colonial,Vinyl,6,39.29,3,7.46,933904
ID_23,Chicago,4781,2,4,0,1959,8062,3,1,1.0,Traditional,Brick,10,31.75,1,7.8,1100409
ID_24,San Jose,4425,4,2,0,1905,16745,2,1,1.0,Colonial,Vinyl,10,49.63,5,9.27,1014162
ID_25,San Jose,4959,3,2,0,1961,10536,1,1,1.0,Contemporary,Stucco,4,37.8,7,5.43,1096826
ID_26,San Jose,2650,5,5,1,2015,17783,1,0,0,Ranch,Stucco,6,28.31,4,7.43,898480
ID_27,Los Angeles,3102,4,1,1,1929,7034,3,0,1.0,Colonial,Vinyl,4,4.81,8,7.68,904484
ID_28,Philadelphia,4275,1,3,0,1976,4070,2,0,0,Colonial,Stucco,3,34.67,10,4.17,929009
ID_29,San Antonio,3707,6,3,1,1959,12843,2,0,1.0,Ranch,Wood,2,25.46,3,7.53,976855
ID_30,Phoenix,2878,4,3,0,1903,13504,3,0,0,Contemporary,,5,35.92,8,5.49,748391
ID_31,San Jose,3229,2,1,1,1900,11345,2,0,1.0,Modern,Wood,6,6.06,7,2.53,845069
ID_32,Houston,4464,6,3,1,1924,10826,3,0,0,Contemporary,Brick,3,21.13,5,4.15,1068136
ID_33,San Jose,4437,5,5,0,1972,4763,3,1,0,Ranch,Stucco,5,21.48,10,6.34,1145912
ID_34,Philadelphia,1215,1,5,0,1963,10204,2,0,0,Ranch,Brick,2,6.72,3,2.73,552594
ID_35,Phoenix,4047,5,5,1,1998,11534,1,1,1.0,Contemporary,Brick,2,3.45,3,0.41,1144507
ID_36,San Jose,3652,4,4,0,1981,15907,1,0,1.0,Colonial,Vinyl,6,45.43,4,7.33,963488
ID_37,San Antonio,3705,5,2,0,1932,15202,2,0,0,Contemporary,Brick,5,6.96,9,5.06,1002449
ID_38,Phoenix,1997,2,1,0,1930,4527,2,1,0,Contemporary,Stucco,9,16.43,6,5.94,554821
ID_39,New York,2099,5,4,1,1910,7269,1,1,1.0,Contemporary,Wood,3,1.42,2,4.31,759989
ID_40,New York,2508,2,2,0,1900,16432,3,0,1.0,Modern,Wood,9,25.85,6,3.16,733059
ID_41,New York,4363,4,5,0,1978,15712,2,0,0,Colonial,Wood,3,20.68,5,0.68,1082105
ID_42,Chicago,4355,3,3,1,1975,14140,1,1,1.0,Ranch,Vinyl,1,48.19,6,2.84,1070193
ID_43,San Jose,3802,1,3,1,1919,17819,1,1,1.0,Colonial,Vinyl,8,34.37,4,7.05,923351
ID_44,New York,1189,2,4,1,2008,7885,2,0,0,Ranch,Brick,5,22.83,10,0.88,648885
