student_id,gender,age,high_school_GPA,SAT_score,TOEFL_score,degree_program,extracurricular_participation,work_experience_years,volunteer_experience,sop_strength_score,lor_strength_score,financial_aid_requested,preferred_campus,admission_status
ST0001,Male,28,3.04,1202,117.0,Engineering,0,3,0,6,4,0,California,0
ST0002,Male,21,3.06,1347,114.0,Science,1,3,0,4,7,1,New York,1
ST0003,Female,30,2.7,1265,105.0,Science,0,0,0,6,1,0,Texas,0
ST0004,Other,27,3.97,1006,111.0,Business,1,1,1.0,7,9,0,Florida,1
ST0005,Other,27,3.48,1596,107.0,Science,1,1,0,6,1,1,Florida,1
ST0006,Female,30,3.2,1237,85.0,Engineering,0,4,1.0,3,9,1,California,1
ST0007,Female,29,3.67,1064,83.0,Medicine,0,4,1.0,6,1,1,Illinois,1
ST0008,Other,33,3.29,1002,103.0,Engineering,1,3,1.0,1,1,1,Florida,0
ST0009,Male,23,3.17,1494,109.0,Business,0,4,1.0,2,3,1,Illinois,1
ST0010,Female,32,2.83,1538,119.0,Science,0,4,1.0,9,3,1,California,1
ST0011,Female,28,2.51,1082,108.0,Medicine,1,1,1.0,5,10,0,New York,0
ST0012,Male,34,2.55,1335,107.0,Science,1,4,0,6,1,0,California,1
ST0013,Female,27,3.84,1032,107.0,Science,1,3,1.0,10,2,0,Texas,1
ST0014,Male,24,2.65,1312,96.0,Science,0,4,0,8,2,0,Texas,0
ST0015,Male,29,2.5,1593,118.0,Arts,0,4,1.0,1,4,1,California,1
ST0016,Female,21,3.04,1568,95.0,Business,0,3,1.0,10,7,0,Texas,1
ST0017,Other,20,3.87,1122,85.0,Medicine,1,3,1.0,1,3,0,Illinois,1
ST0018,Other,30,3.15,1382,108.0,Science,0,1,1.0,5,7,1,New York,1
ST0019,Female,31,2.82,1313,81.0,Business,0,3,0,9,5,0,California,0
ST0020,Female,22,3.1,1138,96.0,Business,1,0,1.0,5,8,0,Texas,0
ST0021,Male,23,3.21,1394,91.0,Science,0,2,1.0,3,4,0,California,1
ST0022,Other,30,2.97,1078,95.0,Law,0,2,0,6,6,0,Texas,0
ST0023,Female,30,3.47,1367,85.0,Medicine,0,1,0,10,5,0,Texas,1
ST0024,Female,27,2.61,1186,91.0,Arts,1,3,0,4,4,1,Florida,0
ST0025,Male,23,3.95,1470,117.0,Science,1,2,1.0,5,1,1,Florida,1
ST0026,Other,27,3.56,1447,101.0,Science,0,1,,1,9,0,Florida,1
ST0027,Other,22,2.53,1273,92.0,Business,1,3,1.0,2,7,1,California,1
ST0028,Other,18,3.97,1483,99.0,Engineering,0,3,0,6,9,1,Illinois,1
ST0029,Female,27,3.69,1077,111.0,Science,1,0,0,8,5,0,Texas,0
ST0030,Male,17,3.49,1033,90.0,Medicine,1,4,1.0,8,9,1,Illinois,1
ST0031,Male,18,3.17,1475,100.0,Medicine,0,3,0,8,5,0,New York,1
ST0032,Male,24,3.98,1009,104.0,Science,1,3,0,9,9,1,Texas,1
ST0033,Male,28,3.28,1121,98.0,Medicine,0,3,1.0,10,4,0,California,0
ST0034,Other,18,3.42,1177,110.0,Arts,0,0,0,5,10,0,California,0
ST0035,Other,21,3.97,1318,102.0,Law,0,3,1.0,7,7,1,California,1
ST0036,Male,26,3.68,1297,110.0,Science,0,0,1.0,7,9,1,Florida,1
ST0037,Male,19,3.06,1354,106.0,Arts,1,3,1.0,7,4,0,New York,1
ST0038,Other,25,3.6,1600,89.0,Arts,0,1,0,9,1,0,Illinois,1
ST0039,Male,30,3.28,1317,82.0,Arts,1,0,0,5,9,1,New York,0
ST0040,Other,23,2.99,1294,92.0,Business,1,2,0,2,9,0,Illinois,0
ST0041,Other,17,3.72,1204,114.0,Engineering,0,0,1.0,1,3,1,Florida,0
ST0042,Female,28,3.96,1530,106.0,Engineering,0,2,1.0,10,9,0,New York,1
ST0043,Male,24,3.0,1022,87.0,Engineering,0,1,0,4,9,0,New York,0
ST0044,Male,34,3.67,1152,100.0,Business,1,3,1.0,9,7,0,New York,1
ST0045,Female,27,3.35,1220,97.0,Arts,1,2,1.0,6,1,1,Florida,1
