Product_ID,Date,Base_Price,Base_Price,Discount_Offered,Units_Sold,Revenue,Marketing_Spend,Customer_Rating,Inventory_Available,Clicked_Ad,Customer_Segment,Event,Season
P1023,15-01-2024,350,351,15,120,,3200,4.2,200,Yes,Loyal,Festival,Winter
P1045,20-02-2024,280,281,10,95,,1800,3.8,150,No,Deal-seeker,None,Winter
P1078,05-03-2024,420,421,20,180,,4500,4.5,300,Yes,Price-sensitive,Holiday,Spring
P1099,18-04-2024,150,151,5,75,,1200,3.5,100,No,Loyal,None,Spring
P1122,22-05-2024,390,391,25,210,,4800,4.7,250,Yes,Deal-seeker,Flash Sale,Summer
P1156,30-06-2024,220,221,12,130,,2500,4,180,No,Price-sensitive,None,Summer
P1189,14-07-2024,310,311,18,160,,3500,3.9,220,Yes,Loyal,Festival,Monsoon
P1210,28-08-2024,180,181,8,110,,2000,4.1,140,No,Deal-seeker,None,Monsoon
P1243,12-09-2024,450,451,22,240,,5200,4.8,280,Yes,Price-sensitive,Holiday,Autumn
P1275,25-10-2024,130,131,6,85,,1500,3.7,120,No,Loyal,None,Autumn
P1308,08-11-2024,370,371,17,190,,4200,4.3,260,Yes,Deal-seeker,Flash Sale,Autumn
P1340,19-12-2024,260,261,14,140,,2800,4.4,210,No,Price-sensitive,Festival,Winter
P1373,03-01-2024,200,201,9,105,,2200,3.6,160,Yes,Loyal,None,Winter
P1405,17-02-2024,340,341,21,175,,4000,4.6,240,No,Deal-seeker,Holiday,Winter
P1438,29-03-2024,120,121,4,65,,1000,3.4,90,Yes,Price-sensitive,None,Spring
P1470,11-04-2024,430,431,19,220,,5000,4.9,290,No,Loyal,Festival,Spring
P1503,24-05-2024,290,291,13,145,,3000,4.2,230,Yes,Deal-seeker,None,Summer
P1535,06-06-2024,160,161,7,115,,2100,3.8,170,No,Price-sensitive,Flash Sale,Summer
P1568,18-07-2024,380,381,24,205,,4700,4.7,270,Yes,Loyal,Holiday,Monsoon
P1600,31-08-2024,250,251,11,135,,2600,4.1,190,No,Deal-seeker,None,Monsoon
P1633,13-09-2024,410,411,16,195,,4300,4.5,250,Yes,Price-sensitive,Festival,Autumn
P1665,26-10-2024,140,141,5,90,,1600,3.9,130,No,Loyal,None,Autumn
P1698,09-11-2024,320,321,20,185,,4100,4.4,240,Yes,Deal-seeker,Flash Sale,Autumn
P1730,20-12-2024,180,181,10,125,,2300,4.3,200,No,Price-sensitive,Holiday,Winter
P1763,04-01-2024,210,211,15,115,,2400,3.7,180,Yes,Loyal,None,Winter
P1795,18-02-2024,360,361,18,170,,4200,4.6,260,No,Deal-seeker,Festival,Winter
P1828,30-03-2024,130,131,6,80,,1700,3.5,110,Yes,Price-sensitive,None,Spring
